,inputs,outputs
360,"they are like some kind of tribe. got their own language.  you cannot just walk up to these guys.  you have got to get out there.  learn some moves.  get into their head.  pick up the speech.
",i am not to wait in one minute .
361,"i think you gotta hit them straight on!
",okay . i just wanted to see something .
362,"what, you couldn't have just left the thing in your car?
",what ?
363,"angelo, pay attention.  there's gonna be a test afterward.  lab is showing traces of toxins.  pcbs. heavy elements... selenium, titanium and arsenic.
",that is gon na need me . we are right . we are gon na know it .
364,"the beaches are always being closed because of waste spills, right?  and surfers are territorial.  they stick mostly to certain breaks.  if we can get some hair samples, and get a match to a certain beach, we would know which break the expresidents surf. you buyin' this?
",yeah .
365,"big zippo so far.  how about you?
",what you did ?
366,"no, but there are four guys back there you might check out.
","no , no , no . do n't do . i will not be here . i have no problem in the comics ..."
367,"look, if you are gonna go leavin' your piece and your shield in the car, you can damn well stay in sight.  okay?
",so we can miss her ?
368,"... felony b and e, three months in juvey.  better.  felony assault. postgraduate work at chino. excellent.  i am lovin' it.  what about the brother?  great!  another model citizen. these guys really fit the profile.
",yeah .
369,"when did harp say they would have the warrant?
","we have got a wet bikini contest , and of course not ."
370,"did that worthless punk partner of mine ever show up?
",that is what i need .
371,"i am ready to rock, angelo.  where you want me?
",i am going to the hotel .
372,"aw shit.
",you know what you are doing ?
373,"johnny!  uh, you, uh... should call first, you know?  hey, where the hell were you all day?  you gotta at least call in or something.  you okay?
","yeah , i am sorry ."
374,"... so i started tailing him.
",what do you want me to do ?
375,"they are on their way to maui.
",not they go ?
376,"i say we call it in.  get some backup.  but you gotta do it.  harp will not listen to me.
",yeah ?
377,"time for lunch.
","you have a little emotional , little ."
378,"the hell are they?!
",my god ! i do n't know what he is !
379,"nothing?
",you are a fool !
380,"i know where they are going.
","oh , i forgot to be a way , dad ."
381,"angelo!  don't fire!
","not without a matter of game , your little ."
382,"what do you want?
",i am strangely comfortable with you .
383,"what is it?  you all of a sudden got this bug you had to go surfing? this is a line, right?
","you are the most beautiful little boy , trying ."
384,"i came out here from ohio a month ago.  never saw the ocean before.  i didn't think it would effect me so much.  like i am drawn to it, or something.  i want to do what you do.  it's the truth.
",you are so predictable .
385,"stop here.  do you agree to do exactly what i say when i say it?
","because i want you to know , what will you do ?"
386,"nice place.
","shhh ... yeah , yeah , but i get the idea ."
387,"who's the girl?
",me .
388,"bunch of goddamn adrenaline junkies. i hope you are not buying into this banzaibullshit like the rest of bodhi's moonies.
",but i do n't give it ...
389,"what is goin' on?
",you are going to be stuck in the room and something that .
390,"i can barely do this in broad daylight.
",i do n't know .
391,"you had enough?
",i have been better .
392,"look at you.
",i am sorry .
393,"those are cold.
",i am really sorry . but i can not buy it .
394,"i... i gotta go.
",what ?
395,"ouch.
",i am sorry .
396,"so what would the other guy look like?
",i am always too tired about the funny .
397,"jesus christ, johnny  you have been using me!  your jacket's on the floor in the bathroom  this goddamn thing's half out of the pocket... oh god, it's all part of some case, isn't it?
","i was going going , but the place ."
398,"i work bank robbery.  guys i am after are surfers.  i needed you, at first, but not
","yes , of course ."
399,"well, i saw you and
",i am going to marry to you .
400,"hey!  uh, how do i get back in?
",i just work in a couple of a car .
401,"bye.
",damone . it 's mark .
402,"major, looks like there were ten, maybe twelve guerrillas. looks like they took some prisoners from the chopper.  then a different set of track, over there.
",pipes ? ? oh no !
403,"strange, major. there was a firefight. shooting in all directions.
",so did we ?
404,"billy... what the hell's wrong with you?
","i am not sure , i have been seen you were n't even ... i did n't have to help ..."
405,"you have been pushing too many pencils, dillon. had enough?
",not yet .
406,"that piece of work you guys pulled off at the berlin embassy last week was really something. blew the entry points on three floors and neutralized the opposition in eight seconds flat. beautiful.
",what for ? i have been keeping her .
407,"wasn't my style. we are a rescue unit, not assassins.  this must be good. big shot from the cia, leaves his desk to come back to the bush. what is so important?
",i have got a little ...
408,"our rendezvous points and radio freqs. are indicated and fixed. awacs contact on four hour intervals.
",what ?
409,"you don't know how much i missed this, dutch!!! once you get this in your blood, you never get it out!!!
",fuckin a !
410,"billy's on it.  heat seeker. pretty sophisticated for halfasses mountain boys.
",thanks .
411,"mean anything to you?
",no .
412,"i knew this man. green berets, out of fort bragg. what the hell were they doing in here? you got any answers for this, dillon?
",he is about the old who have been in in 1932 .
413,"it was all bullshit. all of it. from the start... you set us up, got us in here to do your dirty work.
","you are right , man !"
414,"she is too valuable. she is got to know their whole network. the whole set up. we take her with us.
",are you all right ?
415,"blain...  ... just like the others... no powder burns, no shrapnel.
",no ! he is a good guy !
416,"we are still too far in, they will not risk coming in for us.
","no . no , no , no . they must have the problem ."
417,"you are wastin' your time.
","but only on purpose , tommy . let 's go ."
418,"what the hell do you think you are doing?
",i am bringing the job .
419,"he will be looking for the trip wires. if we are lucky, he will not see this.
",i do n't know how to break the truth .
420,"no way, dutch. i am going. you get these people and get the hell out of here.
",it 's not gon na kill him in .
421,"i will see you there.
",you do n't have to be your mother when i would like to talk about you .
422,"thanks.
","drink up , young man . it will make a whole seduction part less repugnant ."
423,"don't know, only saw one of 'em. camouflaged. he was there...  ... those fucking eyes...
",yeah ?
424,"take a position over there. i will work around towards you. when i flush him, you nail him...
",oh ?
425,"any sign of the hostages?
",let 's not one .
426,"what is got billy so spooked?
",what ?
427,"you saw what?
",no .
428,"put him in his poncho and liner and carry him back. we will bury him in the morning.
",all right . i have been working .
429,"we have got most of the flares, frags. and two claymores just outside. nothin's comin' close to here without trippin' on somethin'.
",thought good way . it was n't gon na screw .
430,"i am sorry, bull. it's never easy. he was a good soldier.
",you have got to be the first way i have done for you .
431,"you are looking well, dutch.
","i am telling you , i saw it was a man ."
432,"that is over the border, general.
","you have got to get out of here , have you we can not have a date ?"
433,"what have you got in mind, general.
","i am telling you , i saw you had a little ... ."
434,"you lift off in three hours.  there's one other thing.
",my condolences is here .
435,"took 'em out with a heat seeker.
",nice .
436,"what is he got?
",he is drawing the isthmus ... he is saying he is an investigation .
437,"major, you would better take a look at this.
",i am glad you can do it . i can not believe it .
438,"what in god's name...?
",i think i am not there ...
439,"how could anyone get through this, carry blain out, right under our noses without leavin' a trace?
",yeah ... so ... i read you in there ... i will not be getting in this ... ...
440,"georgia.
",alderman .
441,"your uncle will like this.
",what do you mean ? i am starving .
442,"mr. harris, we know you have purchased at least twenty percent of our stock.  we also know you plan to file a formal bid for a majority share.
",yeah .
443,"we are on the verge of closing a large navy contract.  double is ridiculous but we can assure you a healthy profit on your shares.  we would give you a promissory note...
","but , i will drop that ."
444,"there's no way you could know that.
",i am canceling it . i am not working what i am .
445,"we can reach an understanding on this.
",what is that ?
446,"i like your hat.
",you know what you have been doing .
447,"hey, big guy, you getting tired, yet?  i am.  this is vivian.  you two been together long?  you and edward?
","the upper west side , plus ."
448,"it's... it's not like that.
","it 's not , that is n't ."
449,"you don't know anything about me.
",there 's a rumor here .
450,"what is that long building over there?
","you have got to get these things , just get on the way to the hospital of the room ."
451,"the real estate possibilities are endless.  most of the yard we will just level.  i talked to a couple of developers, under the table, of course, and they said 
",i can not .
452,"congratulations, sir.
",my god ...
453,"who are you going after next, sir?
",i am afraid so fast .
454,"what would it take to buy our stock back?  name your price.
",why do n't i just do n't think i am going out
455,"mr. kross, i am not here to sell you my stock.  on the contrary, i am here to buy yours.
",i can not understand .
456,"mr. harris.
","do n't believe that , man ."
457,"yes.  i am here to tell you that i have reconsidered my position on your acquisition offer.
",you are personally . i have been fair .
458,"stop.  for just a moment.  mr. kross, i would like to ask you a few questions ubeforeu you sign. you realize that you are a target. if you weren't mine, you would be someone elses, correct?
",yeah ... yes .
459,"i... i would take advantage of it.
","oh , absolutely , but trubshaw 's a man worth meeting ."
460,"i... i don't know.  there... there wasn't time...
",but what is it ?
461,"quiet.  would i get the loans?
",nope .
462,"hey sugar, you lookin' for a date?
",naw .
463,"no, you look like a hooker.
",that is okay .
464,"nice car.  yours?
",yeah .
465,"mind if i turn on some heat?
",i do n't know .
466,"very good.  you are obviously mechanical.
","i am telling you , i saw you had a message in my head ."
467,"what is your name?
",jacob .
468,"must be dangerous.  hooking.
",but we only one more than ten thousand .
469,"ugly habit, biting your nails.
","it 's not a joke , mummy . a man 's got ."
470,"what do you charge for company, vivian?
",we have got to get over there .
471,"no, but it's getting there.
",i have changed . i have been made that before .
472,"three hundred.
",you are ...
473,"get in.  this side.
","where is the ether ? no , this the town going ."
474,"better believe it.
",attago of the house .
475,"my raincoat's in the back.  put it on.
",what about the trees ?
476,"room service.  what do you drink?
","i am not sure , but i have got a ..."
477,"want to know something?  i don't quite know.  i hadn't planned this.
",what is your name ?
478,"let's talk some more first.
",what kind of friend ?
479,"sounds like you have known a lot of lawyers.
",you are kidding .
480,"i think he wanted you to tip him.
",he was going to see you .
481,"where are they?  shopping together?
","i have got a feeling , but and i had a job ."
482,"it's a very good year.
",yes .
483,"try a strawberry.
",that is good .
484,"you really are a very beautiful girl.
","yeah , well , you really enjoy a ride to work , too ?"
485,"what do you like?
",i am strangely comfortable with you .
486,"good morning.
","you better talk , or we will find out ."
487,"did you sleep well?
",i do n't think so .
488,"where would you go?
",i am going to see what else is going on .
489,"do you ever... enjoy it?
",yes .
490,"i buy companies.
",you know what i have been lucky .
491,the one i am buying this week will cost around 150 million.,that is what ? the other you is . you are n't taking a thing .
492,"so what a ya do with the companies once you buy'm?
",you wan na get me ten thousand and
493,"by breaking up a company's assets 
",what are you talking about ?
494,"all right.  how much for the week?
",you kidding the last one ?
495,"it would cost you.
",what ?
496,"four thousand.
",you are gon na be a little more the little .
497,"i am not just talking about sex.
",it 's not .
498,"never answer the phone.  ever.
","oh , god ."
499,"hello?
",mr. van dorn ?
500,"i am sorry.
",no . do n't be . i am not going to be in the way !
501,"and that is the way the game is played.
",i did n't know barry had to do that .
502,"you are upset, huh?
","it 's the dog , pete . what ?"
503,"know what we are gonna do in a little while then?  we are gonna call domino's and have'm deliver a bigass pizza.  we are gonna eat it in bed.  we are gonna veg' out and watch television.
",i do .
504,"i still don't understand why you only bought one dress.
","yeah , well , you really enjoy business into what , huh ?"
505,"okay.
",what is it ?
506,"i thought maybe you would like dinner.
",what ?
507,"what about dinner?
",i have been listening to the transmission .
508,"you always been rich?
",i have been better much better ... i want to hear the diva and you are not so ...
509,"keep talkin'.  i like hearin'.
",no . i am not gon na be a way .
510,"you still mad at'm?
",i was going to see you in the way you can not have called enough to miss you her .
511,"you are really pushing it, bringing me here.
",what for ?
512,"real genuine guy.
",thanks .
513,"edward, these women here, i don't think any of'm like the guys they are with.  they are just into it for the money.
",i can not .
514,"you asshole!  i cannot believe what a !
",what is wrong with you ?
515,"clean the slut up, take her out, huh?!  what are you trying to prove!?  i am not a piece of meat for you to offer to your friends!
",here ?
516,"what was i supposed to do?  i told the truth.  why should the truth upset you?  it's not as if you are from a convent.
","but , i think that is ..."
517,"well, it's true.  just pay me what you owe me and i am gone.
",me ?
518,"vivian... i am sorry.  i wasn't prepared for questions about us. it was an idiotic and insensitive thing i did.  i should have known that it would hurt you.
",i am not bargaining for myself .
519,"do i look okay?
",yeah .
520,"what is that?
",i am taking a piss .
521,"edward, i cannot.
",what do you mean ?
522,"you don't want to go all the way to san francisco in a limousine, do you?  i don't.
",i do n't know how to hotwire .
523,"i have never been on a plane before.
",where ?
524,"sorry.  you are not paying me to ask you question like that.
","no , i do n't think i am ..."
525,"if it's in italian, how will i know what they are saying?
",well .
526,"if you would gone on about how much you liked it, i am not sure i would have believed you.
",you do n't seem to be a little trouble with me ?
527,"one more night and you are finally rid of me.
",i do n't know what you are talking about .
528,"what else?  you gonna leave some cash by the bed when you pass through town?
",i do n't know .
529,"vivian, i have thought about this a lot.  this is the best solution.
","yes , indeed ."
530,"vivian, life's not a fairy tale.
",i was just going to marry .
531,"what did you do to him?
",he is asleep .
532,"why do guys always know how to hit a woman?  right across the cheek, wham, so it feels like your eye is gonna explode.  what do they do, take you all aside in high school and show you how? it pisses me off!
",sorry a lot of here . we have lunch for the place . we will find to find that so so .
533,"i got tired of hating my father.
",he is my angel .
534,"you are packing.
",you are a whiz kid .
535,"aw, don't... no...
","your friend , big al ?"
536,"i didn't think so.
",you did n't have to tell you that .
537,"barnard thomas, manager of the hotel.
","you want me , mollie ."
538,"mr. harris, a guest of yours, is a guest of ours and shall be treated accordingly.  the young lady asked me to tell you that she is waiting for you in the lounge.
",no . but i can .
539,"good afternoon, mr. harris.
","good evening , captain ."
540,"what is up, where you going?
",what are you doing here ?
541,"listen, there are some major local talent inside just dying to meet you...
",hardly .
542,"love this car!  is it new?
",what ?
543,"i want to.
",i will survive .
544,"edward, did you hear me?
",i can not hear that .
545,"what!?
","be quiet , joe !"
546,"what time's diner tonight?
",i think it 's like this .
547,"goddamit!  where is he getting the money to fight?
",yeah . he finished awhile ago he was a great time .
548,"put the pension funds on hold until i say otherwise.
","i am sorry , maybe i will ."
549,"excuse me for saying this but what is wrong with you this week? first, you go soft on the pension funds.  now, you are giving him the chance to get away?  as of two minutes ago, you are committed to the tune of over fifty million dollars 
","that is true . you are the best you came to you , the the way you are the easier ."
550,"bill, i would like you to meet vivian.
",what is it ?
551,"fill me in on this.  how would you and vivian meet?
","harry , lem me give you some advice ."
552,"why do you want to know?
",i have got to finish the chapter .
553,"she met him at dinner last night... i like this tie.
",no !
554,"this is no time to disappear. we are in too far.
",no !
555,"did i wake you?
",i am okay .
556,"i don't think there's any sense in 
","oh , i suppose , it 's a lot of fun . you have n't seen before this before ."
557,"oh, my god... edward, no!
",your honor
558,"what!?
","be quiet , joe !"
559,"you broke my nose.
",what is your name ?
560,"you spent it on drugs, didn't you?
",i just did .
561,"carlos had some great rock.
",jean ? hello ? jean ? what ?
562,"we worked for that money.  we were gonna put together enough to get out of that dump we live in, get off this street.
",i can tell me i am gon na stay me home .
563,"i just saw somebody pulled out of a dumpster.  i wonder how much she made tonight?
",no .
564,"looks slow tonight.
","you think we should be sure when we are going to change that thing , that girl 's not ?"
565,"i cannot handle this tonight. i am going home.
",what can i do for you mr ?
566,"'lo.
",what ? !
567,"he... he just does.
",no .
568,"yes, i am glad you are clean but i have been calling and calling.
","you are a little overqualified , are n't they all ?"
569,"kit...
","what is it , starck ?"
570,"i kissed him, kit.  on the mouth.
","go ahead , bird ."
571,"so whatta' you going to do in san francisco?
",... i am having a mother of his friends .
572,"want a pair of boots?
",no .
573,"you sure you will not come with me?
",i do n't know .
574,"couple a hours.
","you have a little late , so ?"
575,"yeah, what?
",what ?
576,"housekeeping.  i come to turn down the bed.  500, i turn down the bed.",what ?
