,inputs,outputs
396,"so what would the other guy look like?
",i do n't know .
397,"jesus christ, johnny  you have been using me!  your jacket's on the floor in the bathroom  this goddamn thing's half out of the pocket... oh god, it's all part of some case, isn't it?
",i have to go .
398,"i work bank robbery.  guys i am after are surfers.  i needed you, at first, but not
",i do n't know .
399,"well, i saw you and
",i am sorry .
400,"hey!  uh, how do i get back in?
",i do n't know .
401,"bye.
",you are a pal .
402,"major, looks like there were ten, maybe twelve guerrillas. looks like they took some prisoners from the chopper.  then a different set of track, over there.
",run the most .
403,"strange, major. there was a firefight. shooting in all directions.
",you are not going to do with a few things .
404,"billy... what the hell's wrong with you?
",i do n't know .
405,"you have been pushing too many pencils, dillon. had enough?
",i do n't know .
406,"that piece of work you guys pulled off at the berlin embassy last week was really something. blew the entry points on three floors and neutralized the opposition in eight seconds flat. beautiful.
",that will not .
407,"wasn't my style. we are a rescue unit, not assassins.  this must be good. big shot from the cia, leaves his desk to come back to the bush. what is so important?
",yes .
408,"our rendezvous points and radio freqs. are indicated and fixed. awacs contact on four hour intervals.
",i am sorry .
409,"you don't know how much i missed this, dutch!!! once you get this in your blood, you never get it out!!!
",i can not .
410,"billy's on it.  heat seeker. pretty sophisticated for halfasses mountain boys.
",you are not going to do with me .
411,"mean anything to you?
",i am not sure .
412,"i knew this man. green berets, out of fort bragg. what the hell were they doing in here? you got any answers for this, dillon?
",i am not .
413,"it was all bullshit. all of it. from the start... you set us up, got us in here to do your dirty work.
","okay , but i can get a little while on ."
414,"she is too valuable. she is got to know their whole network. the whole set up. we take her with us.
",i do n't know .
415,"blain...  ... just like the others... no powder burns, no shrapnel.
",you are not going to do with me .
416,"we are still too far in, they will not risk coming in for us.
",i do n't know .
417,"you are wastin' your time.
",i am not .
418,"what the hell do you think you are doing?
",i do n't know .
419,"he will be looking for the trip wires. if we are lucky, he will not see this.
",i do n't know .
420,"no way, dutch. i am going. you get these people and get the hell out of here.
",i do n't know .
421,"i will see you there.
",i am not .
422,"thanks.
",what is the matter ?
423,"don't know, only saw one of 'em. camouflaged. he was there...  ... those fucking eyes...
",i am sorry .
424,"take a position over there. i will work around towards you. when i flush him, you nail him...
",i do n't know .
425,"any sign of the hostages?
",i do n't know .
426,"what is got billy so spooked?
",i do n't know .
427,"you saw what?
",i am sorry .
428,"put him in his poncho and liner and carry him back. we will bury him in the morning.
",i do n't know .
429,"we have got most of the flares, frags. and two claymores just outside. nothin's comin' close to here without trippin' on somethin'.
",are just going to the vessel .
430,"i am sorry, bull. it's never easy. he was a good soldier.
",you are not going to have a session .
431,"you are looking well, dutch.
",i am sorry .
432,"that is over the border, general.
",i am sorry .
433,"what have you got in mind, general.
",i am not going to see you .
434,"you lift off in three hours.  there's one other thing.
",you are not going to do with me .
435,"took 'em out with a heat seeker.
",i know .
436,"what is he got?
",i do n't know .
437,"major, you would better take a look at this.
",i am not going to see you .
438,"what in god's name...?
",i do n't know .
439,"how could anyone get through this, carry blain out, right under our noses without leavin' a trace?
","yes , but i am afraid ."
440,"georgia.
",what ?
441,"your uncle will like this.
",i am not .
442,"mr. harris, we know you have purchased at least twenty percent of our stock.  we also know you plan to file a formal bid for a majority share.
","okay , but i have got a little time for a while ."
443,"we are on the verge of closing a large navy contract.  double is ridiculous but we can assure you a healthy profit on your shares.  we would give you a promissory note...
",i am sorry .
444,"there's no way you could know that.
",i am not .
445,"we can reach an understanding on this.
",i am not afraid .
446,"i like your hat.
",i am sorry .
447,"hey, big guy, you getting tired, yet?  i am.  this is vivian.  you two been together long?  you and edward?
",no .
448,"it's... it's not like that.
",i am sorry .
449,"you don't know anything about me.
",i am not .
450,"what is that long building over there?
",i do n't know .
451,"the real estate possibilities are endless.  most of the yard we will just level.  i talked to a couple of developers, under the table, of course, and they said 
","okay , but i have got a idea to have a bit ."
452,"congratulations, sir.
",what is the matter ?
453,"who are you going after next, sir?
",i do n't know .
454,"what would it take to buy our stock back?  name your price.
",i do n't know .
455,"mr. kross, i am not here to sell you my stock.  on the contrary, i am here to buy yours.
",i do n't know .
456,"mr. harris.
",what ?
457,"yes.  i am here to tell you that i have reconsidered my position on your acquisition offer.
",i do n't know .
458,"stop.  for just a moment.  mr. kross, i would like to ask you a few questions ubeforeu you sign. you realize that you are a target. if you weren't mine, you would be someone elses, correct?
",i do n't know .
459,"i... i would take advantage of it.
",i am not going to be careful .
460,"i... i don't know.  there... there wasn't time...
","i am sorry , i am sorry ."
461,"quiet.  would i get the loans?
",i do n't know .
462,"hey sugar, you lookin' for a date?
",i do n't know .
463,"no, you look like a hooker.
",i am sorry .
464,"nice car.  yours?
",yeah .
465,"mind if i turn on some heat?
",i do n't know .
466,"very good.  you are obviously mechanical.
",i am sorry .
467,"what is your name?
",i do n't know .
468,"must be dangerous.  hooking.
",i am sorry .
469,"ugly habit, biting your nails.
",i know .
470,"what do you charge for company, vivian?
",i do n't know .
471,"no, but it's getting there.
",i am sorry .
472,"three hundred.
",i am sorry .
473,"get in.  this side.
",i am sorry .
474,"better believe it.
",i am not .
475,"my raincoat's in the back.  put it on.
",i am sorry .
476,"room service.  what do you drink?
",i do n't know .
477,"want to know something?  i don't quite know.  i hadn't planned this.
",i do n't know .
478,"let's talk some more first.
",i am not .
479,"sounds like you have known a lot of lawyers.
",i am not going to see you .
480,"i think he wanted you to tip him.
",i am not .
481,"where are they?  shopping together?
",i do n't know .
482,"it's a very good year.
",i am sorry .
483,"try a strawberry.
",i am sorry .
484,"you really are a very beautiful girl.
",i am not .
485,"what do you like?
",i do n't know .
486,"good morning.
",good morning .
487,"did you sleep well?
",i am not sure .
488,"where would you go?
",i do n't know .
489,"do you ever... enjoy it?
",i am not sure .
490,"i buy companies.
",i am not .
491,the one i am buying this week will cost around 150 million.,i am not afraid .
492,"so what a ya do with the companies once you buy'm?
",i do n't know .
493,"by breaking up a company's assets 
",i am sorry .
494,"all right.  how much for the week?
",i do n't know .
495,"it would cost you.
",i am not .
496,"four thousand.
",i am sorry .
497,"i am not just talking about sex.
",i am not .
498,"never answer the phone.  ever.
",i am sorry .
499,"hello?
",yes ?
500,"i am sorry.
",i am sorry .
501,"and that is the way the game is played.
",i am sorry .
502,"you are upset, huh?
",i am not sure .
503,"know what we are gonna do in a little while then?  we are gonna call domino's and have'm deliver a bigass pizza.  we are gonna eat it in bed.  we are gonna veg' out and watch television.
","okay , but i can get a little smoother than a bit ."
504,"i still don't understand why you only bought one dress.
",i am sorry .
505,"okay.
",what is it ?
506,"i thought maybe you would like dinner.
",i am not .
507,"what about dinner?
",i do n't know .
508,"you always been rich?
",i do n't know .
509,"keep talkin'.  i like hearin'.
",i know .
510,"you still mad at'm?
",i am not sure .
511,"you are really pushing it, bringing me here.
",i am not going to see you .
512,"real genuine guy.
",i am sorry .
513,"edward, these women here, i don't think any of'm like the guys they are with.  they are just into it for the money.
","okay , but i have got a little idea ."
514,"you asshole!  i cannot believe what a !
",i am sorry .
515,"clean the slut up, take her out, huh?!  what are you trying to prove!?  i am not a piece of meat for you to offer to your friends!
",go away .
516,"what was i supposed to do?  i told the truth.  why should the truth upset you?  it's not as if you are from a convent.
",i can not .
517,"well, it's true.  just pay me what you owe me and i am gone.
",i do n't know .
518,"vivian... i am sorry.  i wasn't prepared for questions about us. it was an idiotic and insensitive thing i did.  i should have known that it would hurt you.
",i am not .
519,"do i look okay?
",i am not .
520,"what is that?
",i do n't know .
521,"edward, i cannot.
",i am not .
522,"you don't want to go all the way to san francisco in a limousine, do you?  i don't.
",i do n't know .
523,"i have never been on a plane before.
",i am sorry .
524,"sorry.  you are not paying me to ask you question like that.
",i do n't know .
525,"if it's in italian, how will i know what they are saying?
",i do n't know .
526,"if you would gone on about how much you liked it, i am not sure i would have believed you.
",i do n't know .
527,"one more night and you are finally rid of me.
",i am not going to see you .
528,"what else?  you gonna leave some cash by the bed when you pass through town?
",i do n't know .
529,"vivian, i have thought about this a lot.  this is the best solution.
",you are not going to do it .
530,"vivian, life's not a fairy tale.
",i am sorry .
531,"what did you do to him?
",i do n't know .
532,"why do guys always know how to hit a woman?  right across the cheek, wham, so it feels like your eye is gonna explode.  what do they do, take you all aside in high school and show you how? it pisses me off!
",go away .
533,"i got tired of hating my father.
",i am sorry .
534,"you are packing.
",i am sorry .
535,"aw, don't... no...
","i am sorry , i am sorry ."
536,"i didn't think so.
",i am not .
537,"barnard thomas, manager of the hotel.
",i am sorry .
538,"mr. harris, a guest of yours, is a guest of ours and shall be treated accordingly.  the young lady asked me to tell you that she is waiting for you in the lounge.
",i have to go .
539,"good afternoon, mr. harris.
",i know .
540,"what is up, where you going?
",i do n't know .
541,"listen, there are some major local talent inside just dying to meet you...
","i am sorry , i am sorry ."
542,"love this car!  is it new?
",i do n't know .
543,"i want to.
",i am not .
544,"edward, did you hear me?
",i am sorry .
545,"what!?
",i am sorry .
546,"what time's diner tonight?
",i do n't know .
547,"goddamit!  where is he getting the money to fight?
",i do n't know .
548,"put the pension funds on hold until i say otherwise.
",i am not going to be .
549,"excuse me for saying this but what is wrong with you this week? first, you go soft on the pension funds.  now, you are giving him the chance to get away?  as of two minutes ago, you are committed to the tune of over fifty million dollars 
",i am not .
550,"bill, i would like you to meet vivian.
",i am sorry .
551,"fill me in on this.  how would you and vivian meet?
",i do n't know .
552,"why do you want to know?
",i do n't know .
553,"she met him at dinner last night... i like this tie.
",i am sorry .
554,"this is no time to disappear. we are in too far.
",i am sorry .
555,"did i wake you?
",i am not .
556,"i don't think there's any sense in 
",i am not sure .
557,"oh, my god... edward, no!
",i am sorry .
558,"what!?
",i am sorry .
559,"you broke my nose.
",i am not .
560,"you spent it on drugs, didn't you?
",i do n't know .
561,"carlos had some great rock.
",i am sorry .
562,"we worked for that money.  we were gonna put together enough to get out of that dump we live in, get off this street.
","okay , but i have got a idea , but i have to get out of here ."
563,"i just saw somebody pulled out of a dumpster.  i wonder how much she made tonight?
",i do n't know .
564,"looks slow tonight.
",i am sorry .
565,"i cannot handle this tonight. i am going home.
",i am not going to be a jets .
566,"'lo.
",what ?
567,"he... he just does.
",i am sorry .
568,"yes, i am glad you are clean but i have been calling and calling.
",i do n't know .
569,"kit...
",i am sorry .
570,"i kissed him, kit.  on the mouth.
",i know .
571,"so whatta' you going to do in san francisco?
",i do n't know .
572,"want a pair of boots?
",i do n't know .
573,"you sure you will not come with me?
",i am not sure .
574,"couple a hours.
",i am sorry .
575,"yeah, what?
",i am sorry .
576,"housekeeping.  i come to turn down the bed.  500, i turn down the bed.",i am sorry .
